Like,ml2,Like1
"FTSE 100 seen lower, Barclays beats expectations, Unilever sales jump",27 Apr 2023,"Proactive Investors -  Sainsbury 's unveils top-end annual profit J Sainsbury PLC (LON:SBRY) has reported full year pre-tax profit of £690mln, down 5% year-on-year, but at..."
"FTSE 100 seen lower, Barclays profit beats expectations",27 Apr 2023,Proactive Investors -  Barclays tops expectations  Barclays  PLC (LON:BARC) reported better than expected first quarter pre-tax profit supported by strong growth in its UK business...
FTSE 100 seen lower on banking concerns; Meta flies high,27 Apr 2023,Proactive Investors - The FTSE 100 is expected to open lower as worries over economic growth pulled blue chips stocks lower on Wall Street although strong results from Meta...
London close: Stocks lower amid another batch of earnings,26 Apr 2023,"Sharecast - The FTSE 100 fell 0.49% to 7,852.64, while the FTSE 250 decreased by 0.04% to 19,207.97. Retail sales were also in focus, with a cautious mood in the sector persisting..."
FTSE 100 pares losses as housebuilders lifted by Persimmon green shoots,26 Apr 2023,"Proactive Investors - FTSE 100 falls after steady start, down 22 points Persimmon green shoots lift housebuilders StanChart results top expectations, but banks weaken on US..."
"FTSE 100 movers: Miners, banks decline; Whitbread rallies",25 Apr 2023,"Sharecast - Miners were under pressure, with   Glencore  (LON:GLEN), Rio (LON:RIO),   Anglo American  (LON:AAL) and   Antofagasta  (LON:ANTO) all down. Associated British Foods..."
AstraZeneca in uncharted waters as shares rocket higher,25 Apr 2023,Proactive Investors - AstraZeneca (LON:AZN) delivers its first quarter results Thursday on a hot streak. Shares have risen 15% in a month consolidating its position as the...
GSK minds the gap as AstraZeneca streaks ahead,25 Apr 2023,Proactive Investors - GSK’s (LON:GSK) first quarter should see the UK pharma in decent shape operationally says analysts though the ongoing legal battle over Zantac...
"FTSE 100 dragged lower by mining and oil, Sunak to meet UK business heads",24 Apr 2023,"Proactive Investors -London, Europe open the week lower Mining and oil stock drag on footsie Sunak to meet UK plcs 9.56am: Sunak to woo UK plcs as CBI crisis deepens Prime Minister..."
"FTSE 100 opens lower, AstraZeneca overtakes US rival Pfizer",24 Apr 2023,Proactive Investors - AstraZeneca overtakes former takeover rival Pfizer The British pharma giant has overtaken its US counterpart in terms of market capitalisation in the days...
"AstraZeneca results arrive with focus on drug trials, while GSK still faces Zantac overhang",21 Apr 2023,"Proactive Investors - The FTSE 100's biggest company reports next week, AstraZeneca PLC (LSE:NASDAQ:AZN) stepping up with a first-quarter trading update on Thursday, preceded by a..."
Astrazeneca receives Investment Bank Analyst Rating Update,21 Apr 2023,
Astrazeneca receives Investment Bank Analyst Rating Update,18 Apr 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,18 Apr 2023,
FTSE 100 maintains gains as US stocks seen mixed; bitcoin back above $30k,11 Apr 2023,"Proactive Investors - FTSE 100 stays below session peak of 7,806.39 Wall Street seen mixed with Nasdaq indicated lower  IMF sees interest rates returning to pre-Covid..."
"FTSE 100 in positive mood, IMF sees rates falling to pre-Covid levels",11 Apr 2023,"Proactive Investors - FTSE 100 in fine fettle, up 29 points IMF sees rates returning to pre-Covid levels Boss of the CBI, Tony Danker, sacked Spirax-Sarco slips after UBS..."
Astrazeneca receives Investment Bank Analyst Rating Update,11 Apr 2023,
"FTSE 100 opens sharply higher, mining and oil stocks provide support",11 Apr 2023,"Proactive Investors - The FTSE 100 made a strong start to trading after the long weekend testing the 7,800 mark once more with mining stocks leading the way. At 8.15am London's..."
AstraZeneca releases US$0.7bn after simplifying US RSV deal,11 Apr 2023,"Proactive Investors - AstraZeneca PLC (LON:AZN), Swedish Orphan Biovitrum AB (Sobi) and Sanofi (EPA:SASY) have updated and simplified their agreements relating to the development..."
UK's FTSE 100 climbs on upbeat services sector data; AstraZeneca jumps,05 Apr 2023, By Sruthi Shankar and Shristi Achar A (Reuters) -The UK's FTSE 100 rose on Wednesday after data showed that the dominant service sector in March reported the strongest new...
UK court orders GSK to pay AstraZeneca royalties on total sales of Zejula,05 Apr 2023," (Reuters) - A UK court on Wednesday ordered GSK's Tesaro to pay rival AstraZeneca (NASDAQ:AZN) royalties on total sales of ovarian cancer drug Zejula, in a win for the..."
AstraZeneca reports positive analysis from ovarian cancer trial,05 Apr 2023,"Sharecast - The FTSE 100 pharmaceuticals giant said the results came from a planned interim analysis of the ‘DUO-O’ phase three trial, and showed significant..."
How GSK plans to replenish its depleted medicine cabinet,15 Mar 2023," By Maggie Fick STEVENAGE, England (Reuters) - GSK's chief scientist says an overhaul of the drugmaker's R&D unit has begun delivering results - citing an RSV vaccine and promising..."
AstraZeneca PT receives Investment Bank Analyst Rating Update,15 Mar 2023,
AstraZeneca receives Investment Bank Analyst Rating Update,14 Mar 2023,
AstraZeneca's Imfinzi trial shows 'significantly improved' event-free survival rates,09 Mar 2023,"Sharecast - AstraZeneca said results of the Imfinzi trial showed that treatment with the drug both before and after surgery ""significantly increased"" the time patients live without..."
AstraZeneca signs deal to produce new gastric cancer drug,23 Feb 2023,"Proactive Investors - AstraZeneca PLC, Britain’s largest pharmaceutical company, has agreed a licensing deal with KYM Biosciences Inc for a potential drug treatment for..."
AstraZeneca receives Investment Bank Analyst Rating Update,21 Feb 2023,
AstraZeneca PT receives Investment Bank Analyst Rating Update,21 Feb 2023,
AstraZeneca PT receives Investment Bank Analyst Rating Update,15 Feb 2023,
"AstraZeneca pipeline worth the current premium, says broker",14 Feb 2023,"Proactive Investors - Shore Capital has reiterated its 'buy' recommendation for AstraZeneca PLC following the release of the company’s fourth-quarter results, following which..."
AstraZeneca goes for growth with new drugs as COVID sales wane,09 Feb 2023," By Natalie Grover and Maggie Fick LONDON (Reuters) - AstraZeneca (NASDAQ:AZN) on Thursday said it was poised to grow in 2023 and beyond, banking on its burgeoning line-up of..."
FTSE 100 holds near new record high; US stocks seen up as weekly jobless claims rise,09 Feb 2023,"Proactive Investors - FTSE 100 stays off new intra-day high of 7,949.57 Wall Street forecast for big gains at open   Standard Chartered  (LON:STAN) rises on bid speculation 2.20pm:..."
AstraZeneca CEO says UK business climate deters investment,09 Feb 2023," By Natalie Grover and Maggie Fick LONDON (Reuters) -Britain's business climate is deterring biopharma companies from investing in the country, AstraZeneca (NASDAQ:AZN) chief..."
AstraZeneca Q4 core earnings beat estimates despite easing COVID vaccine demand,09 Feb 2023,"By Scott Kanowsky  Investing.com -- AstraZeneca PLC (LON:AZN) posted better-than-expected core income in the fourth quarter, thanks to strong demand for its cancer and rare disease..."
European stocks higher; German consumer price increases slow,09 Feb 2023,"By Peter Nurse  Investing.com - European stock markets traded higher Thursday, boosted by a slowing in the growth of German consumer prices while investors digested a flood of..."
"European stock futures higher; German CPI, Credit Suisse in focus",09 Feb 2023,"By Peter Nurse  Investing.com - European stock markets are expected to edge higher at the open Thursday, as investors digested the latest German inflation data as well as the..."
"PepsiCo, AstraZeneca, PayPal earnings: 3 things to watch",08 Feb 2023,By Liz Moyer Investing.com -- Stocks were falling on Wednesday as investors took in comments by multiple Fed officials and tried to make out the direction of interest...
AstraZeneca: Will pharma giant beat revenue expectations?,08 Feb 2023,"Proactive Investors - AstraZeneca PLC (NASDAQ:AZN) is poised to release its full-year results for 2022, with the shares reaching a record high last month but down 6% since the..."
Top 5 Health Care Stocks That May Rally,03 Feb 2023,"Benzinga - The most oversold stocks in the health care sector presents an opportunity to buy into undervalued companies. The RSI is a momentum indicator, which compares a stock's..."
AstraZeneca PT receives Investment Bank Analyst Rating Update,25 Jan 2023,
AstraZeneca PT receives Investment Bank Analyst Rating Update,18 Jan 2023,
AstraZeneca To Acquire CinCor Pharma To Strengthen Cardiorenal Pipeline,09 Jan 2023,Benzinga - AstraZeneca (NASDAQ:AZN) Plc (NASDAQ: AZN) has agreed to acquire to CinCor Pharma Inc (NASDAQ: CINC) for $26.00 per share in cash plus a contingent value right of $10.00...
"AstraZeneca boosts heart, kidney business with $1.8 billion CinCor deal",09 Jan 2023, By Natalie Grover (Reuters) -AstraZeneca said on Monday it had struck a deal to buy U.S.-based drug developer CinCor Pharma Inc for up to $1.8 billion to increase its stock of...
London midday: Stocks nudge lower despite China hopes,09 Jan 2023,"Sharecast - The FTSE 100 was down 0.1% at 7,712.42, having hit four-year highs earlier in the session. Russ Mould, investment director at AJ Bell, said: ""Although US jobs figures..."
AstraZeneca to buy U.S. biotech CinCor for as much as $1.8 billion,09 Jan 2023,By Scott Kanowsky Investing.com -- Shares in  CinCor Pharma  Inc (NASDAQ:CINC) surged by more than 133% in pre-market trading on Monday after AstraZeneca PLC (LON:AZN) agreed to...
European stocks edge higher; German industrial production impresses,09 Jan 2023,"By Peter Nurse  Investing.com - European stock markets edged higher Monday, with sentiment boosted by China’s decision to fully reopen its borders as well as stronger-than-expected..."
AstraZeneca to buy US-based CinCor in $1.8bn deal,09 Jan 2023,Sharecast - CinCor is focused on developing novel treatments for resistant and uncontrolled hypertension as well as chronic kidney disease. AstraZeneca (NASDAQ:AZN) said the deal...
"GSK, AstraZeneca: Will the two UK drugs giants ride the US$74bn pharma wave or will they be left beached?",06 Jan 2023,"Proactive Investors - The global pharma sector is expected to see clinical trial readouts that could potentially de-risk approximately US$74bn of peak sales in 2023, according to a..."
AstraZeneca: Has the market factored in the full value of potential cancer blockbuster?,05 Jan 2023,"Proactive Investors - A phase III clinical trial of a lung cancer drug developed by AstraZeneca PLC and Daiichi Sankyo is expected to show positive results, according to a leading..."
AstraZeneca receives Investment Bank Analyst Rating Update,04 Jan 2023,
AstraZeneca PT receives Investment Bank Analyst Rating Update,03 Jan 2023,
Exclusive-Drugmakers to raise prices on at least 350 drugs in U.S. in January,30 Dec 2022," By Michael Erman and Julie Steenhuysen NEW YORK (Reuters) - Drugmakers including  Pfizer  Inc (NYSE:PFE), GlaxoSmithKline PLC, Bristol Myers Squibb, AstraZeneca (NASDAQ:AZN) PLC..."
AstraZeneca gets new approvals in Japan on three drugs,28 Dec 2022,"Sharecast - It also said ‘Calquence’, or acalabrutinib, a selective Bruton's tyrosine kinase (BTK) inhibitor, had been approved in Japan for the treatment of adult..."
AstraZeneca slips after Imfinzi falls short in cancer trial,19 Dec 2022,"By Geoffrey Smith  Investing.com -- AstraZeneca (LON:AZN) stock slipped in morning trading in London on Monday, after the U.K.-Swedish pharma company said its Imfinzi drug had..."
"AstraZeneca's Forxiga recommended for EU approval, James Fisher sells three businesses",19 Dec 2022,"Sharecast - The FTSE 100 is expected to open 20 points higher on Monday, having closed down 1.27% on Friday at 7,332.12. Stocks to watch AstraZeneca’s Forxiga drug has been..."
AstraZeneca PT receives Investment Bank Analyst Rating Update,15 Dec 2022,
"AstraZeneca attractive in near term but patent cliffs loom, says broker",14 Dec 2022,"Proactive Investors - AstraZeneca (NASDAQ:AZN) has a “positive catalyst path ahead” in the near term given its oncology project pipelines, according to broker..."
Amgen secures $28.3 billion deal to buy Horizon Therapeutics,12 Dec 2022,By Scott Kanowsky  Investing.com -- Amgen Inc. (NASDAQ:AMGN) has agreed to buy Horizon Therapeutics PLC (NASDAQ:HZNP) in an all-cash deal that values the biotech firm at about...
AstraZeneca receives Investment Bank Analyst Rating Update,09 Dec 2022,
AstraZeneca boosts cancer portfolio with $320 million Neogene deal,29 Nov 2022," (Reuters) -AstraZeneca will acquire biotechnology company Neogene Therapeutics for up to $320 million, the London-listed drugmaker said on Tuesday, seeking to build its pipeline..."
AstraZeneca acquires biotech Neogene for $320M in bid to expand cancer treatments,29 Nov 2022,"By Scott Kanowsky  Investing.com -- AstraZeneca PLC (LON:AZN) has signed a $320 million cash and debt deal to acquire bio-technology group Neogene Therapeutics, as the U.K...."
AstraZeneca receives Investment Bank Analyst Rating Update,29 Nov 2022,
UK's C4X Discovery signs $400 million licensing deal with AstraZeneca,28 Nov 2022, LONDON (Reuters) - British drug discovery company C4X Discovery said AstraZeneca (NASDAQ:AZN) had signed a licence worth up $402 million to develop an oral therapy for the...
